ID,Proficiency_Level,Group,Time,Score
S001,A2,Control,Pre,5.43
S001,A2,Control,Post,6.44
S002,A2,Control,Pre,5.62
S002,A2,Control,Post,6.68
S003,A2,Control,Pre,5.81
S003,A2,Control,Post,6.92
S004,A2,Control,Pre,5.99
S004,A2,Control,Post,7.16
S005,A2,Control,Pre,6.18
S005,A2,Control,Post,7.39
S006,A2,Control,Pre,6.36
S006,A2,Control,Post,7.63
S007,A2,Control,Pre,6.55
S007,A2,Control,Post,7.86
S008,A2,Control,Pre,6.74
S008,A2,Control,Post,8.09
S009,A2,Control,Pre,6.92
S009,A2,Control,Post,8.31
S010,A2,Control,Pre,7.11
S010,A2,Control,Post,8.54
S011,A2,Control,Pre,7.29
S011,A2,Control,Post,8.75
S012,A2,Control,Pre,7.48
S012,A2,Control,Post,8.97
S013,A2,Control,Pre,7.66
S013,A2,Control,Post,9.18
S014,A2,Control,Pre,7.85
S014,A2,Control,Post,9.4
S015,A2,Control,Pre,8.04
S015,A2,Control,Post,9.6
S016,A2,Control,Pre,8.22
S016,A2,Control,Post,9.81
S017,A2,Control,Pre,8.41
S017,A2,Control,Post,10.01
S018,A2,Control,Pre,8.59
S018,A2,Control,Post,10.22
S019,A2,Control,Pre,8.78
S019,A2,Control,Post,10.42
S020,A2,Control,Pre,8.97
S020,A2,Control,Post,10.62
S021,A2,ADFF,Pre,5.17
S021,A2,ADFF,Post,9.01
S022,A2,ADFF,Pre,5.38
S022,A2,ADFF,Post,9.29
S023,A2,ADFF,Pre,5.58
S023,A2,ADFF,Post,9.56
S024,A2,ADFF,Pre,5.78
S024,A2,ADFF,Post,9.84
S025,A2,ADFF,Pre,5.98
S025,A2,ADFF,Post,10.11
S026,A2,ADFF,Pre,6.19
S026,A2,ADFF,Post,10.38
S027,A2,ADFF,Pre,6.39
S027,A2,ADFF,Post,10.64
S028,A2,ADFF,Pre,6.59
S028,A2,ADFF,Post,10.91
S029,A2,ADFF,Pre,6.8
S029,A2,ADFF,Post,11.17
S030,A2,ADFF,Pre,7.0
S030,A2,ADFF,Post,11.43
S031,A2,ADFF,Pre,7.2
S031,A2,ADFF,Post,11.68
S032,A2,ADFF,Pre,7.4
S032,A2,ADFF,Post,11.93
S033,A2,ADFF,Pre,7.61
S033,A2,ADFF,Post,12.18
S034,A2,ADFF,Pre,7.81
S034,A2,ADFF,Post,12.42
S035,A2,ADFF,Pre,8.01
S035,A2,ADFF,Post,12.66
S036,A2,ADFF,Pre,8.22
S036,A2,ADFF,Post,12.9
S037,A2,ADFF,Pre,8.42
S037,A2,ADFF,Post,13.13
S038,A2,ADFF,Pre,8.62
S038,A2,ADFF,Post,13.36
S039,A2,ADFF,Pre,8.82
S039,A2,ADFF,Post,13.6
S040,A2,ADFF,Pre,9.03
S040,A2,ADFF,Post,13.83
S041,B1,Control,Pre,8.25
S041,B1,Control,Post,9.45
S042,B1,Control,Pre,8.49
S042,B1,Control,Post,9.74
S043,B1,Control,Pre,8.73
S043,B1,Control,Post,10.03
S044,B1,Control,Pre,8.96
S044,B1,Control,Post,10.33
S045,B1,Control,Pre,9.2
S045,B1,Control,Post,10.61
S046,B1,Control,Pre,9.44
S046,B1,Control,Post,10.9
S047,B1,Control,Pre,9.67
S047,B1,Control,Post,11.19
S048,B1,Control,Pre,9.91
S048,B1,Control,Post,11.47
S049,B1,Control,Pre,10.15
S049,B1,Control,Post,11.75
S050,B1,Control,Pre,10.38
S050,B1,Control,Post,12.02
S051,B1,Control,Pre,10.62
S051,B1,Control,Post,12.29
S052,B1,Control,Pre,10.85
S052,B1,Control,Post,12.56
S053,B1,Control,Pre,11.09
S053,B1,Control,Post,12.82
S054,B1,Control,Pre,11.33
S054,B1,Control,Post,13.08
S055,B1,Control,Pre,11.56
S055,B1,Control,Post,13.33
S056,B1,Control,Pre,11.8
S056,B1,Control,Post,13.59
S057,B1,Control,Pre,12.04
S057,B1,Control,Post,13.84
S058,B1,Control,Pre,12.27
S058,B1,Control,Post,14.09
S059,B1,Control,Pre,12.51
S059,B1,Control,Post,14.34
S060,B1,Control,Pre,12.75
S060,B1,Control,Post,14.58
S061,B1,ADFF,Pre,8.39
S061,B1,ADFF,Post,11.91
S062,B1,ADFF,Pre,8.64
S062,B1,ADFF,Post,12.25
S063,B1,ADFF,Pre,8.9
S063,B1,ADFF,Post,12.57
S064,B1,ADFF,Pre,9.15
S064,B1,ADFF,Post,12.9
S065,B1,ADFF,Pre,9.41
S065,B1,ADFF,Post,13.23
S066,B1,ADFF,Pre,9.66
S066,B1,ADFF,Post,13.55
S067,B1,ADFF,Pre,9.91
S067,B1,ADFF,Post,13.87
S068,B1,ADFF,Pre,10.17
S068,B1,ADFF,Post,14.19
S069,B1,ADFF,Pre,10.42
S069,B1,ADFF,Post,14.5
S070,B1,ADFF,Pre,10.67
S070,B1,ADFF,Post,14.81
S071,B1,ADFF,Pre,10.93
S071,B1,ADFF,Post,15.11
S072,B1,ADFF,Pre,11.18
S072,B1,ADFF,Post,15.41
S073,B1,ADFF,Pre,11.43
S073,B1,ADFF,Post,15.71
S074,B1,ADFF,Pre,11.69
S074,B1,ADFF,Post,16.0
S075,B1,ADFF,Pre,11.94
S075,B1,ADFF,Post,16.29
S076,B1,ADFF,Pre,12.19
S076,B1,ADFF,Post,16.57
S077,B1,ADFF,Pre,12.45
S077,B1,ADFF,Post,16.86
S078,B1,ADFF,Pre,12.7
S078,B1,ADFF,Post,17.14
S079,B1,ADFF,Pre,12.96
S079,B1,ADFF,Post,17.42
S080,B1,ADFF,Pre,13.21
S080,B1,ADFF,Post,17.69
S081,C1,Control,Pre,11.31
S081,C1,Control,Post,13.79
S082,C1,Control,Pre,11.61
S082,C1,Control,Post,14.04
S083,C1,Control,Pre,11.92
S083,C1,Control,Post,14.3
S084,C1,Control,Pre,12.22
S084,C1,Control,Post,14.55
S085,C1,Control,Pre,12.53
S085,C1,Control,Post,14.8
S086,C1,Control,Pre,12.83
S086,C1,Control,Post,15.05
S087,C1,Control,Pre,13.14
S087,C1,Control,Post,15.3
S088,C1,Control,Pre,13.44
S088,C1,Control,Post,15.54
S089,C1,Control,Pre,13.74
S089,C1,Control,Post,15.78
S090,C1,Control,Pre,14.05
S090,C1,Control,Post,16.02
S091,C1,Control,Pre,14.35
S091,C1,Control,Post,16.26
S092,C1,Control,Pre,14.66
S092,C1,Control,Post,16.49
S093,C1,Control,Pre,14.96
S093,C1,Control,Post,16.72
S094,C1,Control,Pre,15.26
S094,C1,Control,Post,16.95
S095,C1,Control,Pre,15.57
S095,C1,Control,Post,17.18
S096,C1,Control,Pre,15.87
S096,C1,Control,Post,17.4
S097,C1,Control,Pre,16.18
S097,C1,Control,Post,17.62
S098,C1,Control,Pre,16.48
S098,C1,Control,Post,17.84
S099,C1,Control,Pre,16.79
S099,C1,Control,Post,18.06
S100,C1,Control,Pre,17.09
S100,C1,Control,Post,18.28
S101,C1,ADFF,Pre,11.93
S101,C1,ADFF,Post,15.82
S102,C1,ADFF,Pre,12.2
S102,C1,ADFF,Post,16.04
S103,C1,ADFF,Pre,12.47
S103,C1,ADFF,Post,16.25
S104,C1,ADFF,Pre,12.74
S104,C1,ADFF,Post,16.47
S105,C1,ADFF,Pre,13.01
S105,C1,ADFF,Post,16.69
S106,C1,ADFF,Pre,13.28
S106,C1,ADFF,Post,16.9
S107,C1,ADFF,Pre,13.55
S107,C1,ADFF,Post,17.11
S108,C1,ADFF,Pre,13.82
S108,C1,ADFF,Post,17.32
S109,C1,ADFF,Pre,14.09
S109,C1,ADFF,Post,17.53
S110,C1,ADFF,Pre,14.36
S110,C1,ADFF,Post,17.73
S111,C1,ADFF,Pre,14.64
S111,C1,ADFF,Post,17.94
S112,C1,ADFF,Pre,14.91
S112,C1,ADFF,Post,18.14
S113,C1,ADFF,Pre,15.18
S113,C1,ADFF,Post,18.34
S114,C1,ADFF,Pre,15.45
S114,C1,ADFF,Post,18.53
S115,C1,ADFF,Pre,15.72
S115,C1,ADFF,Post,18.72
S116,C1,ADFF,Pre,15.99
S116,C1,ADFF,Post,18.92
S117,C1,ADFF,Pre,16.26
S117,C1,ADFF,Post,19.11
S118,C1,ADFF,Pre,16.53
S118,C1,ADFF,Post,19.3
S119,C1,ADFF,Pre,16.8
S119,C1,ADFF,Post,19.48
S120,C1,ADFF,Pre,17.07
S120,C1,ADFF,Post,19.67
