ID,Proficiency_Level,Group,Pre_Test,Post_Test
S001,A2,Control,5.43,6.44
S002,A2,Control,5.62,6.68
S003,A2,Control,5.81,6.92
S004,A2,Control,5.99,7.16
S005,A2,Control,6.18,7.39
S006,A2,Control,6.36,7.63
S007,A2,Control,6.55,7.86
S008,A2,Control,6.74,8.09
S009,A2,Control,6.92,8.31
S010,A2,Control,7.11,8.54
S011,A2,Control,7.29,8.75
S012,A2,Control,7.48,8.97
S013,A2,Control,7.66,9.18
S014,A2,Control,7.85,9.4
S015,A2,Control,8.04,9.6
S016,A2,Control,8.22,9.81
S017,A2,Control,8.41,10.01
S018,A2,Control,8.59,10.22
S019,A2,Control,8.78,10.42
S020,A2,Control,8.97,10.62
S021,A2,ADFF,5.17,9.01
S022,A2,ADFF,5.38,9.29
S023,A2,ADFF,5.58,9.56
S024,A2,ADFF,5.78,9.84
S025,A2,ADFF,5.98,10.11
S026,A2,ADFF,6.19,10.38
S027,A2,ADFF,6.39,10.64
S028,A2,ADFF,6.59,10.91
S029,A2,ADFF,6.8,11.17
S030,A2,ADFF,7.0,11.43
S031,A2,ADFF,7.2,11.68
S032,A2,ADFF,7.4,11.93
S033,A2,ADFF,7.61,12.18
S034,A2,ADFF,7.81,12.42
S035,A2,ADFF,8.01,12.66
S036,A2,ADFF,8.22,12.9
S037,A2,ADFF,8.42,13.13
S038,A2,ADFF,8.62,13.36
S039,A2,ADFF,8.82,13.6
S040,A2,ADFF,9.03,13.83
S041,B1,Control,8.25,9.45
S042,B1,Control,8.49,9.74
S043,B1,Control,8.73,10.03
S044,B1,Control,8.96,10.33
S045,B1,Control,9.2,10.61
S046,B1,Control,9.44,10.9
S047,B1,Control,9.67,11.19
S048,B1,Control,9.91,11.47
S049,B1,Control,10.15,11.75
S050,B1,Control,10.38,12.02
S051,B1,Control,10.62,12.29
S052,B1,Control,10.85,12.56
S053,B1,Control,11.09,12.82
S054,B1,Control,11.33,13.08
S055,B1,Control,11.56,13.33
S056,B1,Control,11.8,13.59
S057,B1,Control,12.04,13.84
S058,B1,Control,12.27,14.09
S059,B1,Control,12.51,14.34
S060,B1,Control,12.75,14.58
S061,B1,ADFF,8.39,11.91
S062,B1,ADFF,8.64,12.25
S063,B1,ADFF,8.9,12.57
S064,B1,ADFF,9.15,12.9
S065,B1,ADFF,9.41,13.23
S066,B1,ADFF,9.66,13.55
S067,B1,ADFF,9.91,13.87
S068,B1,ADFF,10.17,14.19
S069,B1,ADFF,10.42,14.5
S070,B1,ADFF,10.67,14.81
S071,B1,ADFF,10.93,15.11
S072,B1,ADFF,11.18,15.41
S073,B1,ADFF,11.43,15.71
S074,B1,ADFF,11.69,16.0
S075,B1,ADFF,11.94,16.29
S076,B1,ADFF,12.19,16.57
S077,B1,ADFF,12.45,16.86
S078,B1,ADFF,12.7,17.14
S079,B1,ADFF,12.96,17.42
S080,B1,ADFF,13.21,17.69
S081,C1,Control,11.31,13.79
S082,C1,Control,11.61,14.04
S083,C1,Control,11.92,14.3
S084,C1,Control,12.22,14.55
S085,C1,Control,12.53,14.8
S086,C1,Control,12.83,15.05
S087,C1,Control,13.14,15.3
S088,C1,Control,13.44,15.54
S089,C1,Control,13.74,15.78
S090,C1,Control,14.05,16.02
S091,C1,Control,14.35,16.26
S092,C1,Control,14.66,16.49
S093,C1,Control,14.96,16.72
S094,C1,Control,15.26,16.95
S095,C1,Control,15.57,17.18
S096,C1,Control,15.87,17.4
S097,C1,Control,16.18,17.62
S098,C1,Control,16.48,17.84
S099,C1,Control,16.79,18.06
S100,C1,Control,17.09,18.28
S101,C1,ADFF,11.93,15.82
S102,C1,ADFF,12.2,16.04
S103,C1,ADFF,12.47,16.25
S104,C1,ADFF,12.74,16.47
S105,C1,ADFF,13.01,16.69
S106,C1,ADFF,13.28,16.9
S107,C1,ADFF,13.55,17.11
S108,C1,ADFF,13.82,17.32
S109,C1,ADFF,14.09,17.53
S110,C1,ADFF,14.36,17.73
S111,C1,ADFF,14.64,17.94
S112,C1,ADFF,14.91,18.14
S113,C1,ADFF,15.18,18.34
S114,C1,ADFF,15.45,18.53
S115,C1,ADFF,15.72,18.72
S116,C1,ADFF,15.99,18.92
S117,C1,ADFF,16.26,19.11
S118,C1,ADFF,16.53,19.3
S119,C1,ADFF,16.8,19.48
S120,C1,ADFF,17.07,19.67
